Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:39.0,A. Edwards makes free throw 2 of 2,54-65, ,,2,65,54,11,1401.0
0:24.0, ,54-65,Turnover by T. Herro (lost ball; steal by A. Edwards),,2,65,54,11,1416.0
0:01.0,Offensive foul by K. Anderson (drawn by B. Adebayo),54-65, ,,2,65,54,11,1439.0
0:01.0,Turnover by K. Anderson (offensive foul),54-65, ,,2,65,54,11,1439.0
0:01.0,Technical foul by C. Finch,54-65, ,,2,65,54,11,1439.0
0:01.0, ,54-66,J. Butler makes technical free throw,,2,66,54,12,1439.0
0:00.0,End of 2nd quarter,54-66,,,2,66,54,12,1440.0
12:00.0,Start of 3rd quarter,54-66,,,3,66,54,12,1440.0
11:46.0,A. Edwards misses 3-pt jump shot from 25 ft,54-66, ,,3,66,54,12,1454.0
11:42.0, ,54-66,Defensive rebound by K. Love,,3,66,54,12,1458.0
11:24.0, ,54-66,C. Martin misses 2-pt layup from 8 ft,,3,66,54,12,1476.0
11:21.0,Defensive rebound by K. Towns,54-66, ,,3,66,54,12,1479.0
11:06.0,A. Edwards misses 3-pt jump shot from 26 ft,54-66, ,,3,66,54,12,1494.0
11:02.0, ,54-66,Defensive rebound by K. Love,,3,66,54,12,1498.0
10:54.0, ,54-66,T. Herro misses 3-pt jump shot from 25 ft,,3,66,54,12,1506.0
10:49.0,Defensive rebound by J. McDaniels,54-66, ,,3,66,54,12,1511.0
10:39.0,R. Gobert misses 2-pt jump shot from 6 ft,54-66, ,,3,66,54,12,1521.0
10:38.0,Offensive rebound by R. Gobert,54-66, ,,3,66,54,12,1522.0
10:38.0,Shooting foul by B. Adebayo (drawn by R. Gobert),54-66, ,,3,66,54,12,1522.0
10:38.0,R. Gobert makes free throw 1 of 2,55-66, ,,3,66,55,11,1522.0
10:38.0,R. Gobert makes free throw 2 of 2,56-66, ,,3,66,56,10,1522.0
10:24.0, ,56-66,J. Butler misses 2-pt jump shot from 17 ft,,3,66,56,10,1536.0
10:23.0,Defensive rebound by K. Towns,56-66, ,,3,66,56,10,1537.0
10:04.0,A. Edwards misses 2-pt jump shot from 12 ft,56-66, ,,3,66,56,10,1556.0
10:00.0, ,56-66,Defensive rebound by C. Martin,,3,66,56,10,1560.0
9:45.0, ,56-68,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Love),,3,68,56,12,1575.0
9:25.0,Turnover by M. Conley (lost ball; steal by K. Love),56-68, ,,3,68,56,12,1595.0
9:21.0, ,56-68,Turnover by B. Adebayo (bad pass; steal by A. Edwards),,3,68,56,12,1599.0
9:17.0,M. Conley makes 3-pt jump shot from 26 ft (assist by A. Edwards),59-68, ,,3,68,59,9,1603.0
9:00.0, ,59-68,C. Martin misses 3-pt jump shot from 25 ft,,3,68,59,9,1620.0
8:58.0,Defensive rebound by R. Gobert,59-68, ,,3,68,59,9,1622.0
8:48.0,A. Edwards misses 2-pt jump shot from 18 ft,59-68, ,,3,68,59,9,1632.0
8:45.0,Offensive rebound by R. Gobert,59-68, ,,3,68,59,9,1635.0
8:45.0,R. Gobert makes 2-pt dunk from 1 ft,61-68, ,,3,68,61,7,1635.0
8:32.0, ,61-71,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),,3,71,61,10,1648.0
8:11.0,R. Gobert misses 2-pt jump shot from 14 ft,61-71, ,,3,71,61,10,1669.0
8:08.0, ,61-71,Defensive rebound by J. Butler,,3,71,61,10,1672.0
7:55.0, ,61-71,Personal foul by J. McDaniels (drawn by T. Herro),,3,71,61,10,1685.0
7:44.0, ,61-73,T. Herro makes 2-pt jump shot from 9 ft,,3,73,61,12,1696.0
7:34.0,K. Towns misses 3-pt jump shot from 27 ft,61-73, ,,3,73,61,12,1706.0
7:30.0, ,61-73,Defensive rebound by K. Love,,3,73,61,12,1710.0
7:23.0, ,61-73,B. Adebayo misses 2-pt jump shot from 7 ft,,3,73,61,12,1717.0
7:20.0,Defensive rebound by R. Gobert,61-73, ,,3,73,61,12,1720.0
7:01.0,J. McDaniels misses 2-pt jump shot from 5 ft,61-73, ,,3,73,61,12,1739.0
6:58.0,Offensive rebound by J. McDaniels,61-73, ,,3,73,61,12,1742.0
6:58.0,Turnover by Team (shot clock),61-73, ,,3,73,61,12,1742.0
6:58.0, ,61-73,Miami full timeout,,3,73,61,12,1742.0
6:42.0, ,61-73,J. Butler misses 2-pt jump shot from 7 ft,,3,73,61,12,1758.0
6:39.0,Defensive rebound by A. Edwards,61-73, ,,3,73,61,12,1761.0
6:36.0,J. McDaniels misses 2-pt jump shot from 22 ft,61-73, ,,3,73,61,12,1764.0
6:31.0, ,61-73,Defensive rebound by K. Love,,3,73,61,12,1769.0
6:28.0, ,61-73,T. Herro misses 2-pt layup from 2 ft,,3,73,61,12,1772.0
6:28.0,Defensive rebound by R. Gobert,61-73, ,,3,73,61,12,1772.0
6:09.0,A. Edwards makes 3-pt jump shot from 26 ft,64-73, ,,3,73,64,9,1791.0
5:54.0, ,64-73,Personal foul by J. McDaniels (drawn by T. Herro),,3,73,64,9,1806.0
5:54.0,N. Alexander-Walker enters the game for M. Conley,64-73, ,,3,73,64,9,1806.0
5:54.0,N. Reid enters the game for R. Gobert,64-73, ,,3,73,64,9,1806.0
5:54.0, ,64-73,J. Jaquez enters the game for B. Adebayo,,3,73,64,9,1806.0
