Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:03.0, ,43-67,J. Embiid makes free throw 2 of 2,,3,43,67,-24,1557.0
9:55.0,Personal foul by D. Melton (drawn by K. Hayes),43-67, ,,3,43,67,-24,1565.0
9:54.0,Turnover by K. Hayes (bad pass; steal by T. Harris),43-67, ,,3,43,67,-24,1566.0
9:50.0, ,43-67,Personal foul by J. Wiseman (drawn by J. Embiid),,3,43,67,-24,1570.0
9:37.0, ,43-67,D. Melton misses 3-pt jump shot from 26 ft,,3,43,67,-24,1583.0
9:33.0,Defensive rebound by J. Wiseman,43-67, ,,3,43,67,-24,1587.0
9:27.0,Turnover by A. Thompson (bad pass; steal by T. Maxey),43-67, ,,3,43,67,-24,1593.0
9:23.0, ,43-69,T. Maxey makes 2-pt layup at rim (assist by N. Batum),,3,43,69,-26,1597.0
8:53.0,C. Cunningham misses 2-pt layup from 6 ft (block by J. Embiid),43-69, ,,3,43,69,-26,1627.0
8:50.0, ,43-69,Defensive rebound by J. Embiid,,3,43,69,-26,1630.0
8:43.0, ,43-72,J. Embiid makes 3-pt jump shot from 27 ft (assist by N. Batum),,3,43,72,-29,1637.0
8:26.0,K. Hayes misses 2-pt jump shot from 10 ft,43-72, ,,3,43,72,-29,1654.0
8:24.0,Offensive rebound by B. Bogdanović,43-72, ,,3,43,72,-29,1656.0
8:23.0,B. Bogdanović makes 3-pt jump shot from 28 ft,46-72, ,,3,46,72,-26,1657.0
8:09.0, ,46-72,Shooting foul by C. Cunningham (drawn by T. Maxey),,3,46,72,-26,1671.0
8:09.0, ,46-73,T. Maxey makes free throw 1 of 2,,3,46,73,-27,1671.0
8:09.0, ,46-74,T. Maxey makes free throw 2 of 2,,3,46,74,-28,1671.0
7:55.0,J. Wiseman makes 2-pt layup from 3 ft (assist by K. Hayes),48-74, ,,3,48,74,-26,1685.0
7:39.0, ,48-76,J. Embiid makes 2-pt jump shot from 18 ft (assist by T. Maxey),,3,48,76,-28,1701.0
