Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:41.0,Loose ball foul by O. Okongwu (drawn by J. Smith),86-82, ,,3,86,82,4,1819.0
5:41.0, ,86-83,J. Smith makes free throw 1 of 2,,3,86,83,3,1819.0
5:41.0, ,86-84,J. Smith makes free throw 2 of 2,,3,86,84,2,1819.0
5:19.0,D. Murray makes 2-pt jump shot from 8 ft,88-84, ,,3,88,84,4,1841.0
4:58.0, ,88-87,J. Smith makes 3-pt jump shot from 27 ft (assist by A. Sengun),,3,88,87,1,1862.0
4:42.0,Shooting foul by J. Tate (drawn by D. Murray),88-87, ,,3,88,87,1,1878.0
4:42.0,D. Murray misses free throw 1 of 2,88-87, ,,3,88,87,1,1878.0
4:42.0,Offensive rebound by Team,88-87, ,,3,88,87,1,1878.0
4:42.0,G. Mathews enters the game for C. Capela,88-87, ,,3,88,87,1,1878.0
4:42.0,W. Matthews enters the game for D. Hunter,88-87, ,,3,88,87,1,1878.0
4:42.0,D. Murray makes free throw 2 of 2,89-87, ,,3,89,87,2,1878.0
4:26.0, ,89-87,A. Sengun misses 2-pt hook shot from 7 ft,,3,89,87,2,1894.0
4:25.0,Defensive rebound by O. Okongwu,89-87, ,,3,89,87,2,1895.0
4:17.0,D. Murray misses 2-pt jump shot from 9 ft,89-87, ,,3,89,87,2,1903.0
4:16.0, ,89-87,Defensive rebound by F. VanVleet,,3,89,87,2,1904.0
4:12.0, ,89-89,F. VanVleet makes 2-pt jump shot from 9 ft,Tie,3,89,89,0,1908.0
4:12.0, ,89-89,Shooting foul by B. Bogdanović (drawn by F. VanVleet),,3,89,89,0,1908.0
4:12.0, ,89-89,J. Green enters the game for A. Sengun,,3,89,89,0,1908.0
4:12.0, ,89-90,F. VanVleet makes free throw 1 of 1,Lead change,3,89,90,-1,1908.0
4:00.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Murray),91-90, ,Lead change,3,91,90,1,1920.0
3:47.0, ,91-90,Turnover by A. Holiday (bad pass; steal by B. Bogdanović),,3,91,90,1,1933.0
3:41.0,Turnover by D. Murray (traveling),91-90, ,,3,91,90,1,1939.0
3:30.0, ,91-90,J. Tate misses 3-pt jump shot from 22 ft,,3,91,90,1,1950.0
3:27.0, ,91-90,Offensive rebound by J. Smith,,3,91,90,1,1953.0
3:22.0, ,91-90,Personal foul by D. Murray (drawn by F. VanVleet),,3,91,90,1,1958.0
3:22.0, ,91-91,F. VanVleet makes free throw 1 of 2,Tie,3,91,91,0,1958.0
3:22.0,T. Young enters the game for D. Murray,91-91, ,,3,91,91,0,1958.0
3:22.0, ,91-92,F. VanVleet makes free throw 2 of 2,Lead change,3,91,92,-1,1958.0
3:09.0,B. Bogdanović misses 3-pt jump shot from 26 ft,91-92, ,,3,91,92,-1,1971.0
3:07.0, ,91-92,Defensive rebound by A. Holiday,,3,91,92,-1,1973.0
2:47.0, ,91-92,J. Green misses 3-pt jump shot from 23 ft,,3,91,92,-1,1993.0
2:45.0,Defensive rebound by W. Matthews,91-92, ,,3,91,92,-1,1995.0
2:40.0,Personal foul by J. Smith (drawn by W. Matthews),91-92, ,,3,91,92,-1,2000.0
2:40.0, ,91-92,Houston full timeout,,3,91,92,-1,2000.0
2:40.0, ,91-92,A. Thompson enters the game for J. Tate,,3,91,92,-1,2000.0
2:40.0,W. Matthews makes free throw 1 of 2,92-92, ,Tie,3,92,92,0,2000.0
2:40.0,W. Matthews misses free throw 2 of 2,92-92, ,,3,92,92,0,2000.0
2:39.0, ,92-92,Defensive rebound by J. Smith,,3,92,92,0,2001.0
2:23.0, ,92-94,A. Holiday makes 2-pt layup from 3 ft,,3,92,94,-2,2017.0
1:57.0,G. Mathews misses 3-pt jump shot from 23 ft,92-94, ,,3,92,94,-2,2043.0
1:56.0, ,92-94,Defensive rebound by J. Green,,3,92,94,-2,2044.0
1:44.0, ,92-97,A. Holiday makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,3,92,97,-5,2056.0
1:30.0,Personal foul by A. Thompson (drawn by T. Young),92-97, ,,3,92,97,-5,2070.0
1:30.0,T. Young makes free throw 1 of 2,93-97, ,,3,93,97,-4,2070.0
1:30.0,T. Young makes free throw 2 of 2,94-97, ,,3,94,97,-3,2070.0
1:23.0, ,94-97,F. VanVleet misses 2-pt jump shot from 22 ft,,3,94,97,-3,2077.0
1:21.0,Defensive rebound by W. Matthews,94-97, ,,3,94,97,-3,2079.0
1:11.0,O. Okongwu makes 2-pt layup from 3 ft (assist by T. Young),96-97, ,,3,96,97,-1,2089.0
0:56.0, ,96-97,F. VanVleet misses 2-pt hook shot from 2 ft,,3,96,97,-1,2104.0
0:55.0,Defensive rebound by B. Bogdanović,96-97, ,,3,96,97,-1,2105.0
0:49.0,Shooting foul by J. Green (drawn by B. Bogdanović),96-97, ,,3,96,97,-1,2111.0
0:49.0,B. Bogdanović makes free throw 1 of 2,97-97, ,Tie,3,97,97,0,2111.0
0:49.0,B. Bogdanović makes free throw 2 of 2,98-97, ,Lead change,3,98,97,1,2111.0
0:32.0, ,98-100,J. Smith makes 3-pt jump shot from 25 ft (assist by F. VanVleet),Lead change,3,98,100,-2,2128.0
0:28.0,O. Okongwu misses 2-pt dunk from 3 ft,98-100, ,,3,98,100,-2,2132.0
0:27.0, ,98-100,Defensive rebound by J. Smith,,3,98,100,-2,2133.0
0:03.0, ,98-100,F. VanVleet misses 3-pt jump shot from 26 ft,,3,98,100,-2,2157.0
0:02.0,Defensive rebound by T. Young,98-100, ,,3,98,100,-2,2158.0
0:00.0,T. Young misses 3-pt jump shot from 62 ft,98-100, ,,3,98,100,-2,2160.0
0:00.0,Offensive rebound by Team,98-100, ,,3,98,100,-2,2160.0
0:00.0,End of 3rd quarter,98-100,,,3,98,100,-2,2160.0
12:00.0,Start of 4th quarter,98-100,,,4,98,100,-2,2160.0
12:00.0,Violation by Team (delay of game),98-100, ,,4,98,100,-2,2160.0
11:48.0, ,98-100,A. Sengun misses 2-pt jump shot from 5 ft,,4,98,100,-2,2172.0
11:47.0,Defensive rebound by O. Okongwu,98-100, ,,4,98,100,-2,2173.0
11:39.0,G. Mathews makes 3-pt jump shot from 25 ft (assist by T. Young),101-100, ,Lead change,4,101,100,1,2181.0
11:20.0, ,101-100,A. Holiday misses 3-pt jump shot from 25 ft,,4,101,100,1,2200.0
11:19.0,Defensive rebound by B. Bogdanović,101-100, ,,4,101,100,1,2201.0
11:09.0,O. Okongwu makes 2-pt dunk from 2 ft (assist by T. Young),103-100, ,,4,103,100,3,2211.0
10:52.0, ,103-100,A. Holiday misses 2-pt jump shot from 16 ft,,4,103,100,3,2228.0
10:51.0, ,103-100,Offensive rebound by Team,,4,103,100,3,2229.0
10:51.0, ,103-100,J. Tate enters the game for A. Thompson,,4,103,100,3,2229.0
10:40.0, ,103-100,Turnover by A. Holiday (bad pass),,4,103,100,3,2240.0
10:40.0, ,103-100,F. VanVleet enters the game for A. Holiday,,4,103,100,3,2240.0
10:24.0, ,103-100,Violation by Team (delay of game),,4,103,100,3,2256.0
10:17.0,O. Okongwu makes 2-pt dunk from 4 ft (assist by B. Bogdanović),105-100, ,,4,105,100,5,2263.0
9:57.0, ,105-100,J. Smith misses 2-pt jump shot from 14 ft,,4,105,100,5,2283.0
9:56.0,Defensive rebound by S. Bey,105-100, ,,4,105,100,5,2284.0
9:48.0,O. Okongwu makes 2-pt dunk from 4 ft (assist by T. Young),107-100, ,,4,107,100,7,2292.0
9:48.0, ,107-100,Houston full timeout,,4,107,100,7,2292.0
9:48.0, ,107-100,D. Brooks enters the game for J. Tate,,4,107,100,7,2292.0
9:32.0, ,107-103,D. Brooks makes 3-pt jump shot from 23 ft (assist by A. Sengun),,4,107,103,4,2308.0
9:19.0,S. Bey makes 2-pt dunk from 3 ft (assist by T. Young),109-103, ,,4,109,103,6,2321.0
8:59.0, ,109-103,J. Smith misses 2-pt jump shot from 19 ft,,4,109,103,6,2341.0
8:57.0,Defensive rebound by Team,109-103, ,,4,109,103,6,2343.0
8:57.0,D. Murray enters the game for G. Mathews,109-103, ,,4,109,103,6,2343.0
8:45.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by O. Okongwu),112-103, ,,4,112,103,9,2355.0
8:30.0, ,112-103,J. Smith misses 3-pt jump shot from 22 ft,,4,112,103,9,2370.0
8:29.0,Defensive rebound by B. Bogdanović,112-103, ,,4,112,103,9,2371.0
8:21.0,B. Bogdanović misses 2-pt jump shot from 13 ft,112-103, ,,4,112,103,9,2379.0
