Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:07.0, ,66-62,Defensive rebound by S. Bey,,3,62,66,-4,1493.0
10:51.0, ,66-64,J. Johnson makes 2-pt jump shot from 8 ft,,3,64,66,-2,1509.0
10:39.0,Shooting foul by O. Okongwu (drawn by T. Harris),66-64, ,,3,64,66,-2,1521.0
10:39.0,T. Harris makes free throw 1 of 2,67-64, ,,3,64,67,-3,1521.0
10:39.0,T. Harris makes free throw 2 of 2,68-64, ,,3,64,68,-4,1521.0
10:31.0, ,68-64,Offensive foul by T. Young (drawn by N. Batum),,3,64,68,-4,1529.0
10:31.0, ,68-64,Turnover by T. Young (offensive foul),,3,64,68,-4,1529.0
10:20.0,T. Harris misses 2-pt layup from 3 ft (block by J. Johnson),68-64, ,,3,64,68,-4,1540.0
10:18.0, ,68-64,Defensive rebound by J. Johnson,,3,64,68,-4,1542.0
10:18.0,Technical foul by T. Harris,68-64, ,,3,64,68,-4,1542.0
10:18.0, ,68-65,T. Young makes technical free throw,,3,65,68,-3,1542.0
10:02.0, ,68-65,S. Bey misses 3-pt jump shot from 23 ft,,3,65,68,-3,1558.0
10:00.0,Defensive rebound by P. Reed,68-65, ,,3,65,68,-3,1560.0
9:56.0,D. Melton makes 3-pt jump shot from 26 ft,71-65, ,,3,65,71,-6,1564.0
9:38.0, ,71-68,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,3,68,71,-3,1582.0
9:24.0,D. Melton misses 2-pt jump shot from 22 ft,71-68, ,,3,68,71,-3,1596.0
9:22.0, ,71-68,Defensive rebound by S. Bey,,3,68,71,-3,1598.0
