Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:10.0,K. Porziņģis makes 2-pt jump shot from 13 ft,83-69, ,,3,83,69,14,1550.0
10:10.0, ,83-69,Sacramento full timeout,,3,83,69,14,1550.0
10:10.0, ,83-69,T. Lyles enters the game for K. Huerter,,3,83,69,14,1550.0
9:55.0, ,83-69,K. Murray misses 2-pt layup from 2 ft (block by K. Porziņģis),,3,83,69,14,1565.0
9:51.0,Defensive rebound by K. Porziņģis,83-69, ,,3,83,69,14,1569.0
9:42.0,Turnover by K. Porziņģis (out of bounds lost ball),83-69, ,,3,83,69,14,1578.0
9:34.0, ,83-69,Turnover by D. Fox (bad pass; steal by D. White),,3,83,69,14,1586.0
9:30.0,J. Brown makes 2-pt layup from 2 ft (assist by D. White),85-69, ,,3,85,69,16,1590.0
9:20.0, ,85-69,Turnover by D. Sabonis (out of bounds lost ball),,3,85,69,16,1600.0
9:00.0,D. White makes 2-pt jump shot from 20 ft (assist by K. Porziņģis),87-69, ,,3,87,69,18,1620.0
8:42.0, ,87-69,D. Sabonis misses 2-pt jump shot from 8 ft,,3,87,69,18,1638.0
8:39.0,Defensive rebound by K. Porziņģis,87-69, ,,3,87,69,18,1641.0
8:35.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. White),90-69, ,,3,90,69,21,1645.0
8:20.0, ,90-71,D. Sabonis makes 2-pt hook shot from 4 ft (assist by H. Barnes),,3,90,71,19,1660.0
8:06.0,Shooting foul by K. Murray (drawn by J. Brown),90-71, ,,3,90,71,19,1674.0
8:06.0,J. Brown makes free throw 1 of 2,91-71, ,,3,91,71,20,1674.0
8:06.0, ,91-71,M. Monk enters the game for H. Barnes,,3,91,71,20,1674.0
8:06.0,J. Brown makes free throw 2 of 2,92-71, ,,3,92,71,21,1674.0
7:46.0, ,92-71,Shooting foul by K. Porziņģis (drawn by D. Sabonis),,3,92,71,21,1694.0
7:46.0, ,92-71,D. Sabonis misses free throw 1 of 2,,3,92,71,21,1694.0
7:46.0, ,92-71,Offensive rebound by Team,,3,92,71,21,1694.0
7:46.0, ,92-72,D. Sabonis makes free throw 2 of 2,,3,92,72,20,1694.0
7:33.0,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by D. White),94-72, ,,3,94,72,22,1707.0
7:19.0, ,94-72,Personal foul by K. Porziņģis (drawn by D. Sabonis),,3,94,72,22,1721.0
7:11.0, ,94-72,M. Monk misses 3-pt jump shot from 25 ft,,3,94,72,22,1729.0
7:08.0,Defensive rebound by K. Porziņģis,94-72, ,,3,94,72,22,1732.0
7:03.0,J. Brown makes 2-pt layup from 3 ft (assist by D. White),96-72, ,,3,96,72,24,1737.0
7:00.0, ,96-72,Sacramento full timeout,,3,96,72,24,1740.0
6:52.0, ,96-75,K. Murray makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,3,96,75,21,1748.0
6:31.0,J. Brown misses 2-pt layup from 5 ft,96-75, ,,3,96,75,21,1769.0
6:28.0, ,96-75,Defensive rebound by D. Sabonis,,3,96,75,21,1772.0
6:15.0, ,96-75,D. Fox misses 2-pt jump shot from 11 ft,,3,96,75,21,1785.0
6:14.0, ,96-75,Offensive rebound by D. Fox,,3,96,75,21,1786.0
6:14.0, ,96-75,Shooting foul by D. White (drawn by D. Fox),,3,96,75,21,1786.0
6:14.0, ,96-75,D. Fox misses free throw 1 of 2,,3,96,75,21,1786.0
6:14.0, ,96-75,Offensive rebound by Team,,3,96,75,21,1786.0
6:14.0, ,96-76,D. Fox makes free throw 2 of 2,,3,96,76,20,1786.0
5:51.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Brown),99-76, ,,3,99,76,23,1809.0
5:37.0, ,99-78,M. Monk makes 2-pt jump shot from 9 ft (assist by D. Sabonis),,3,99,78,21,1823.0
5:22.0,J. Brown makes 2-pt jump shot from 16 ft,101-78, ,,3,101,78,23,1838.0
5:22.0,Shooting foul by D. Fox (drawn by J. Brown),101-78, ,,3,101,78,23,1838.0
5:22.0,O. Brissett enters the game for S. Hauser,101-78, ,,3,101,78,23,1838.0
5:22.0,P. Pritchard enters the game for J. Holiday,101-78, ,,3,101,78,23,1838.0
5:22.0, ,101-78,K. Ellis enters the game for D. Fox,,3,101,78,23,1838.0
5:22.0,J. Brown makes free throw 1 of 1,102-78, ,,3,102,78,24,1838.0
5:07.0, ,102-78,D. Sabonis misses 2-pt dunk from 2 ft (block by K. Porziņģis),,3,102,78,24,1853.0
