Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:47.0, ,60-52,J. Brown makes 2-pt jump shot from 17 ft (assist by J. Tatum),,3,52,60,-8,1453.0
11:47.0, ,60-52,Shooting foul by B. Ingram (drawn by J. Brown),,3,52,60,-8,1453.0
11:47.0, ,60-53,J. Brown makes free throw 1 of 1,,3,53,60,-7,1453.0
11:35.0,B. Ingram misses 3-pt jump shot from 25 ft,60-53, ,,3,53,60,-7,1465.0
11:33.0, ,60-53,Defensive rebound by Team,,3,53,60,-7,1467.0
11:33.0, ,60-53,Boston full timeout,,3,53,60,-7,1467.0
11:33.0, ,60-53,Instant Replay (Challenge: Ruling Stands),,3,53,60,-7,1467.0
11:22.0, ,60-53,Shooting foul by J. Valančiūnas (drawn by J. Holiday),,3,53,60,-7,1478.0
11:22.0, ,60-54,J. Holiday makes free throw 1 of 2,,3,54,60,-6,1478.0
11:22.0, ,60-55,J. Holiday makes free throw 2 of 2,,3,55,60,-5,1478.0
11:08.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,60-55, ,,3,55,60,-5,1492.0
11:05.0, ,60-55,Defensive rebound by J. Tatum,,3,55,60,-5,1495.0
10:55.0, ,60-55,J. Brown misses 2-pt layup from 6 ft,,3,55,60,-5,1505.0
10:53.0,Defensive rebound by J. Valančiūnas,60-55, ,,3,55,60,-5,1507.0
10:40.0,J. Valančiūnas makes 2-pt jump shot from 11 ft,62-55, ,,3,55,62,-7,1520.0
10:15.0, ,62-57,J. Brown makes 2-pt jump shot from 18 ft (assist by A. Horford),,3,57,62,-5,1545.0
10:00.0,Personal foul by J. Brown (drawn by J. Valančiūnas),62-57, ,,3,57,62,-5,1560.0
9:49.0,Turnover by H. Jones (out of bounds lost ball),62-57, ,,3,57,62,-5,1571.0
9:39.0, ,62-60,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),,3,60,62,-2,1581.0
9:37.0,New Orleans full timeout,62-60, ,,3,60,62,-2,1583.0
9:37.0,L. Nance enters the game for J. Valančiūnas,62-60, ,,3,60,62,-2,1583.0
9:21.0,Z. Williamson makes 2-pt jump shot from 14 ft (assist by H. Jones),64-60, ,,3,60,64,-4,1599.0
9:21.0,Shooting foul by J. Brown (drawn by Z. Williamson),64-60, ,,3,60,64,-4,1599.0
9:21.0,Z. Williamson misses free throw 1 of 1,64-60, ,,3,60,64,-4,1599.0
9:21.0, ,64-60,Defensive rebound by J. Tatum,,3,60,64,-4,1599.0
9:01.0, ,64-60,Turnover by J. Tatum (out of bounds lost ball),,3,60,64,-4,1619.0
8:47.0,Z. Williamson makes 2-pt layup from 3 ft,66-60, ,,3,60,66,-6,1633.0
8:24.0, ,66-60,J. Tatum misses 3-pt jump shot from 26 ft,,3,60,66,-6,1656.0
8:23.0,Defensive rebound by Z. Williamson,66-60, ,,3,60,66,-6,1657.0
8:12.0,Z. Williamson makes 2-pt layup from 5 ft,68-60, ,,3,60,68,-8,1668.0
8:04.0, ,68-63,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. White),,3,63,68,-5,1676.0
7:47.0,C. McCollum misses 3-pt jump shot from 27 ft,68-63, ,,3,63,68,-5,1693.0
7:45.0, ,68-63,Defensive rebound by D. White,,3,63,68,-5,1695.0
7:30.0, ,68-63,Offensive foul by J. Tatum (drawn by C. McCollum),,3,63,68,-5,1710.0
7:30.0, ,68-63,Turnover by J. Tatum (offensive foul),,3,63,68,-5,1710.0
7:19.0,Turnover by Z. Williamson (bad pass; steal by J. Tatum),68-63, ,,3,63,68,-5,1721.0
7:16.0, ,68-65,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),,3,65,68,-3,1724.0
7:16.0, ,68-65,Shooting foul by C. McCollum (drawn by J. Holiday),,3,65,68,-3,1724.0
7:16.0, ,68-65,J. Holiday misses free throw 1 of 1,,3,65,68,-3,1724.0
7:16.0,Defensive rebound by L. Nance,68-65, ,,3,65,68,-3,1724.0
6:57.0,Z. Williamson makes 2-pt jump shot from 9 ft (assist by B. Ingram),70-65, ,,3,65,70,-5,1743.0
6:57.0,Shooting foul by A. Horford (drawn by Z. Williamson),70-65, ,,3,65,70,-5,1743.0
6:57.0,Z. Williamson makes free throw 1 of 1,71-65, ,,3,65,71,-6,1743.0
6:51.0, ,71-65,A. Horford misses 3-pt jump shot from 25 ft,,3,65,71,-6,1749.0
6:49.0, ,71-65,Offensive rebound by J. Holiday,,3,65,71,-6,1751.0
6:46.0, ,71-68,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Holiday),,3,68,71,-3,1754.0
6:31.0,B. Ingram misses 3-pt jump shot from 27 ft,71-68, ,,3,68,71,-3,1769.0
6:29.0, ,71-68,Defensive rebound by J. Tatum,,3,68,71,-3,1771.0
6:24.0, ,71-68,D. White misses 3-pt jump shot from 26 ft,,3,68,71,-3,1776.0
6:22.0,Defensive rebound by B. Ingram,71-68, ,,3,68,71,-3,1778.0
6:08.0,B. Ingram makes 2-pt jump shot from 12 ft,73-68, ,,3,68,73,-5,1792.0
5:50.0, ,73-68,A. Horford misses 3-pt jump shot from 25 ft,,3,68,73,-5,1810.0
5:49.0, ,73-68,Offensive rebound by J. Brown,,3,68,73,-5,1811.0
5:48.0, ,73-68,Shooting foul by H. Jones (drawn by J. Brown),,3,68,73,-5,1812.0
5:48.0, ,73-69,J. Brown makes free throw 1 of 2,,3,69,73,-4,1812.0
5:48.0, ,73-69,S. Hauser enters the game for J. Tatum,,3,69,73,-4,1812.0
5:48.0, ,73-69,N. Queta enters the game for D. White,,3,69,73,-4,1812.0
5:48.0, ,73-70,J. Brown makes free throw 2 of 2,,3,70,73,-3,1812.0
5:39.0,C. McCollum misses 3-pt jump shot from 26 ft,73-70, ,,3,70,73,-3,1821.0
5:38.0,Offensive rebound by H. Jones,73-70, ,,3,70,73,-3,1822.0
5:31.0,Z. Williamson misses 2-pt hook shot from 12 ft,73-70, ,,3,70,73,-3,1829.0
5:29.0, ,73-70,Defensive rebound by J. Brown,,3,70,73,-3,1831.0
5:23.0, ,73-70,Shooting foul by H. Jones (drawn by J. Brown),,3,70,73,-3,1837.0
5:23.0, ,73-70,J. Brown misses free throw 1 of 2,,3,70,73,-3,1837.0
5:23.0, ,73-70,Offensive rebound by Team,,3,70,73,-3,1837.0
5:23.0,T. Murphy enters the game for Z. Williamson,73-70, ,,3,70,73,-3,1837.0
5:23.0, ,73-70,P. Pritchard enters the game for A. Horford,,3,70,73,-3,1837.0
5:23.0, ,73-71,J. Brown makes free throw 2 of 2,,3,71,73,-2,1837.0
5:11.0,L. Nance misses 2-pt dunk from 2 ft,73-71, ,,3,71,73,-2,1849.0
5:09.0, ,73-71,Defensive rebound by J. Brown,,3,71,73,-2,1851.0
5:02.0, ,73-71,N. Queta misses 2-pt layup from 3 ft (block by L. Nance),,3,71,73,-2,1858.0
4:58.0, ,73-71,Offensive rebound by J. Brown,,3,71,73,-2,1862.0
4:51.0, ,73-74,S. Hauser makes 3-pt jump shot from 27 ft (assist by J. Holiday),Lead change,3,74,73,1,1869.0
4:31.0,Turnover by C. McCollum (bad pass),73-74, ,,3,74,73,1,1889.0
4:31.0,N. Marshall enters the game for H. Jones,73-74, ,,3,74,73,1,1889.0
4:25.0,New Orleans full timeout,73-74, ,,3,74,73,1,1895.0
4:25.0,H. Jones enters the game for N. Marshall,73-74, ,,3,74,73,1,1895.0
4:25.0,Instant Replay (Challenge: Ruling Stands),73-74, ,,3,74,73,1,1895.0
